"","ID","Age","Attrition","BusinessTravel","DailyRate","Department","DistanceFromHome","Education","EducationField","EmployeeCount","EmployeeNumber","EnvironmentSatisfaction","Gender","HourlyRate","JobInvolvement","JobLevel","JobRole","JobSatisfaction","MaritalStatus","MonthlyRate","NumCompaniesWorked","Over18","OverTime","PercentSalaryHike","PerformanceRating","RelationshipSatisfaction","StandardHours","StockOptionLevel","TotalWorkingYears","TrainingTimesLastYear","WorkLifeBalance","YearsAtCompany","YearsInCurrentRole","YearsSinceLastPromotion","YearsWithCurrManager","MonthlyInc.fit","MonthlyInc.lwr","MonthlyInc.upr"
"1", 871,43,"No","Travel_Frequently",1422,"Sales", 2,4,"Life Sciences",1,1849,1,"Male", 92,3,2,"Sales Executive",4,"Married",19246,1,"Y","No",20,4,3,80,1, 7,5,3, 7, 7, 7, 7, 5956.677, 5831.524, 6081.831
"2", 872,33,"No","Travel_Rarely", 461,"Research & Development",13,1,"Life Sciences",1, 995,2,"Female", 53,3,1,"Research Scientist",4,"Single",17241,3,"Y","No",18,3,1,80,0, 5,4,3, 3, 2, 0, 2, 2218.318, 2089.989, 2346.646
"3", 873,55,"Yes","Travel_Rarely", 267,"Sales",13,4,"Marketing",1,1372,1,"Male", 85,4,4,"Sales Executive",3,"Single", 9277,6,"Y","Yes",17,3,3,80,0,24,2,2,19, 7, 3, 8,14225.179,14003.785,14446.574
"4", 874,36,"No","Non-Travel",1351,"Research & Development", 9,4,"Life Sciences",1,1949,1,"Male", 66,4,1,"Laboratory Technician",2,"Married", 9238,1,"Y","No",22,4,2,80,0, 5,3,3, 5, 4, 0, 2, 2154.243, 2024.432, 2284.053
"5", 875,27,"No","Travel_Rarely",1302,"Research & Development",19,3,"Other",1,1619,4,"Male", 67,2,1,"Laboratory Technician",1,"Divorced",16290,1,"Y","No",11,3,1,80,2, 7,3,3, 7, 7, 0, 7, 2231.696, 2093.300, 2370.092
"6", 876,39,"Yes","Travel_Rarely", 895,"Sales", 5,3,"Technical Degree",1,  42,4,"Male", 56,3,2,"Sales Representative",4,"Married", 3335,3,"Y","No",14,3,3,80,1,19,6,4, 1, 0, 0, 0, 6998.072, 6731.546, 7264.597
"7", 877,33,"No","Non-Travel", 750,"Sales",22,2,"Marketing",1, 160,3,"Male", 95,3,2,"Sales Executive",2,"Married",15480,0,"Y","No",13,3,1,80,1, 8,2,4, 7, 7, 0, 7, 6027.441, 5915.846, 6139.037
"8", 878,21,"Yes","Travel_Frequently", 251,"Research & Development",10,2,"Life Sciences",1,1279,1,"Female", 45,2,1,"Laboratory Technician",3,"Single",25308,1,"Y","No",20,4,3,80,0, 2,2,1, 2, 2, 2, 2, 2038.063, 1893.798, 2182.328
"9", 879,30,"No","Travel_Frequently",1312,"Research & Development",23,3,"Life Sciences",1, 159,1,"Male", 96,1,1,"Research Scientist",3,"Divorced",22310,1,"Y","No",25,4,3,80,3,10,2,2,10, 7, 0, 9, 2347.875, 2174.603, 2521.148
"10", 880,51,"No","Travel_Rarely",1405,"Research & Development",11,2,"Technical Degree",1,1367,4,"Female", 82,2,4,"Manufacturing Director",2,"Single",24439,3,"Y","No",16,3,2,80,0,29,1,2, 5, 2, 0, 3,15027.525,14703.093,15351.958
"11", 881,46,"Yes","Travel_Rarely", 377,"Sales", 9,3,"Marketing",1,1457,1,"Male", 52,3,3,"Sales Executive",4,"Divorced",15986,4,"Y","No",11,3,1,80,1,28,1,4, 7, 7, 4, 3,11167.705,10858.996,11476.413
"12", 882,40,"No","Travel_Rarely", 329,"Research & Development", 1,4,"Life Sciences",1,1361,2,"Male", 88,3,1,"Laboratory Technician",2,"Married", 6762,3,"Y","No",22,4,3,80,1, 7,3,3, 4, 2, 0, 3, 2327.808, 2196.416, 2459.200
"13", 883,29,"No","Travel_Rarely",1176,"Sales", 3,2,"Medical",1, 690,2,"Female", 62,3,2,"Sales Executive",3,"Married", 3487,1,"Y","No",14,3,1,80,1, 6,5,2, 6, 0, 1, 2, 5917.951, 5782.688, 6053.213
"14", 884,27,"No","Travel_Frequently", 829,"Sales", 8,1,"Marketing",1, 800,3,"Male", 84,3,2,"Sales Executive",4,"Married",24008,0,"Y","No",19,3,2,80,1, 5,3,3, 4, 2, 1, 1, 5911.262, 5764.295, 6058.228
"15", 885,29,"No","Travel_Rarely",1210,"Sales", 2,3,"Medical",1, 366,1,"Male", 78,2,2,"Sales Executive",2,"Married", 3687,2,"Y","No",19,3,2,80,2,10,2,3, 0, 0, 0, 0, 6393.232, 6234.706, 6551.758
"16", 886,22,"Yes","Travel_Rarely", 617,"Research & Development", 3,1,"Life Sciences",1, 926,2,"Female", 34,3,2,"Manufacturing Director",3,"Married",10022,0,"Y","Yes",19,3,1,80,1, 4,3,4, 3, 2, 0, 2, 5872.535, 5709.363, 6035.707
"17", 887,29,"No","Travel_Rarely", 726,"Research & Development",29,1,"Life Sciences",1,1859,4,"Male", 93,1,2,"Healthcare Representative",3,"Divorced",21143,8,"Y","No",17,3,4,80,2,11,3,3, 7, 0, 1, 6, 6239.734, 6147.616, 6331.851
"18", 888,34,"No","Travel_Rarely", 167,"Research & Development", 8,5,"Life Sciences",1, 775,2,"Female", 32,3,2,"Manufacturing Director",1,"Divorced", 4187,3,"Y","No",14,3,3,80,1, 7,3,3, 0, 0, 0, 0, 6180.940, 6025.571, 6336.309
"19", 889,31,"No","Travel_Rarely", 655,"Research & Development", 7,4,"Life Sciences",1,  76,4,"Male", 48,3,2,"Laboratory Technician",4,"Divorced", 9528,3,"Y","No",22,4,4,80,1,10,3,2, 7, 7, 1, 7, 6168.970, 6074.817, 6263.122
"20", 890,35,"No","Travel_Rarely", 528,"Human Resources", 8,4,"Technical Degree",1,1164,3,"Male",100,3,1,"Human Resources",3,"Single", 7108,1,"Y","No",17,3,2,80,0, 6,2,1, 5, 4, 1, 4, 2225.007, 2096.527, 2353.486
"21", 891,40,"No","Travel_Rarely", 523,"Research & Development", 2,3,"Life Sciences",1,1346,3,"Male", 98,3,2,"Research Scientist",4,"Single",22455,1,"Y","No",13,3,3,80,0, 9,4,3, 9, 8, 8, 8, 6034.130, 5918.524, 6149.737
"22", 892,30,"No","Travel_Rarely",1288,"Sales",29,4,"Technical Degree",1,1568,3,"Male", 33,3,3,"Sales Executive",2,"Married",17799,3,"Y","No",12,3,2,80,1, 9,3,3, 4, 2, 1, 3, 9919.300, 9726.363,10112.237
"23", 893,46,"Yes","Travel_Rarely", 669,"Sales", 9,2,"Medical",1, 118,3,"Male", 64,2,3,"Sales Executive",4,"Single",13596,1,"Y","No",16,3,4,80,0, 9,3,3, 9, 8, 4, 7, 9759.112, 9564.350, 9953.874
"24", 894,27,"No","Travel_Frequently",1410,"Sales", 3,1,"Medical",1, 714,4,"Female", 71,4,2,"Sales Executive",4,"Divorced",16673,1,"Y","Yes",20,4,2,80,2, 6,3,3, 6, 5, 0, 4, 5917.951, 5782.688, 6053.213
"25", 895,49,"No","Travel_Rarely",1490,"Research & Development", 7,4,"Life Sciences",1,1484,3,"Male", 35,3,3,"Healthcare Representative",2,"Divorced",20948,3,"Y","No",14,3,2,80,2,29,3,3, 8, 7, 0, 7,11206.431,10887.989,11524.873
"26", 896,46,"No","Travel_Rarely", 706,"Research & Development", 2,2,"Life Sciences",1,1857,4,"Male", 82,3,3,"Manufacturing Director",4,"Divorced",19989,3,"Y","No",14,3,3,80,1,12,4,2, 9, 8, 4, 7, 9971.404, 9821.287,10121.522
"27", 897,33,"Yes","Travel_Rarely", 211,"Sales",16,3,"Life Sciences",1,1758,1,"Female", 74,3,3,"Sales Executive",1,"Single",10092,2,"Y","Yes",20,4,3,80,0,11,2,2, 0, 0, 0, 0,10188.978, 9973.819,10404.137
"28", 898,42,"No","Non-Travel", 495,"Research & Development", 2,1,"Life Sciences",1,1334,3,"Male", 37,3,4,"Manager",3,"Married",26582,0,"Y","Yes",13,3,4,80,0,21,3,2,20, 8, 2,10,13980.849,13737.418,14224.281
"29", 899,34,"No","Travel_Rarely", 507,"Sales",15,2,"Medical",1,1356,3,"Female", 66,3,2,"Sales Executive",1,"Single",23553,1,"Y","No",12,3,4,80,0,10,6,4,10, 8, 9, 6, 6072.857, 5955.816, 6189.898
"30", 900,36,"No","Travel_Rarely", 329,"Research & Development", 2,3,"Life Sciences",1, 501,4,"Female", 96,3,1,"Research Scientist",3,"Married",11868,4,"Y","No",13,3,2,80,1, 6,3,3, 2, 2, 2, 2, 2321.119, 2186.114, 2456.125
"31", 901,27,"No","Travel_Rarely", 591,"Research & Development", 2,1,"Medical",1,   7,1,"Male", 40,3,1,"Laboratory Technician",2,"Married",16632,9,"Y","No",12,3,4,80,1, 6,3,3, 2, 2, 2, 2, 2321.119, 2186.114, 2456.125
"32", 902,44,"No","Travel_Frequently", 383,"Sales", 1,5,"Marketing",1,1481,1,"Female", 79,3,2,"Sales Executive",3,"Married", 9282,7,"Y","No",12,3,3,80,1,11,4,2, 1, 0, 0, 0, 6431.959, 6282.653, 6581.265
"33", 903,48,"No","Travel_Rarely", 492,"Sales",16,4,"Life Sciences",1,1557,3,"Female", 96,3,2,"Sales Executive",3,"Divorced",13693,8,"Y","No",14,3,3,80,1,18,2,3, 8, 7, 7, 7, 6703.045, 6529.520, 6876.570
"34", 904,40,"No","Travel_Rarely", 543,"Research & Development", 1,4,"Life Sciences",1,2012,1,"Male", 83,3,1,"Laboratory Technician",4,"Married", 4060,8,"Y","No",19,3,3,80,2, 8,3,2, 1, 0, 0, 0, 2494.685, 2335.047, 2654.323
"35", 905,45,"No","Travel_Rarely",1234,"Sales",11,2,"Life Sciences",1,1045,4,"Female", 90,3,4,"Manager",4,"Married", 5404,3,"Y","No",13,3,2,80,1,26,4,4, 9, 3, 1, 1,14687.083,14450.522,14923.643
"36", 906,33,"No","Travel_Frequently", 970,"Sales", 7,3,"Life Sciences",1,1114,4,"Female", 30,3,2,"Sales Executive",2,"Married",13401,0,"Y","No",17,3,3,80,1, 4,3,3, 3, 2, 0, 2, 5872.535, 5709.363, 6035.707
"37", 907,46,"No","Travel_Frequently", 638,"Research & Development", 1,3,"Medical",1, 124,3,"Male", 40,2,3,"Healthcare Representative",1,"Married", 3142,2,"Y","Yes",13,3,3,80,1,21,5,2,10, 9, 9, 5,10576.243,10417.022,10735.465
"38", 908,37,"No","Travel_Rarely",1192,"Research & Development", 5,2,"Medical",1, 460,4,"Male", 61,3,2,"Manufacturing Director",4,"Divorced",23177,7,"Y","No",16,3,3,80,2, 8,2,2, 6, 2, 0, 4, 6059.479, 5951.431, 6167.527
"39", 909,28,"Yes","Travel_Rarely",1434,"Research & Development", 5,4,"Technical Degree",1,  65,3,"Male", 50,3,1,"Laboratory Technician",3,"Single",11179,1,"Y","Yes",13,3,3,80,0, 2,3,2, 2, 2, 2, 2, 2038.063, 1893.798, 2182.328
"40", 910,32,"No","Travel_Rarely", 827,"Research & Development", 1,1,"Life Sciences",1, 134,4,"Male", 71,3,1,"Research Scientist",1,"Single",15178,1,"Y","No",13,3,4,80,0, 1,2,3, 1, 0, 0, 0, 1999.336, 1844.062, 2154.611
"41", 911,43,"No","Travel_Rarely", 920,"Research & Development", 3,3,"Life Sciences",1,1255,3,"Male", 96,1,5,"Research Director",4,"Married",18625,3,"Y","No",14,3,2,80,1,25,2,3, 8, 7, 0, 7,18373.338,18074.482,18672.194
"42", 912,38,"No","Travel_Frequently",1444,"Human Resources", 1,4,"Other",1,1972,4,"Male", 88,3,1,"Human Resources",2,"Married", 5224,0,"Y","Yes",11,3,2,80,1, 7,2,3, 6, 2, 1, 2, 2263.733, 2130.554, 2396.912
"43", 913,40,"No","Travel_Rarely", 616,"Research & Development", 2,2,"Life Sciences",1,1802,3,"Female", 99,3,1,"Laboratory Technician",1,"Married",25605,4,"Y","No",17,3,4,80,1, 7,5,2, 4, 3, 0, 2, 2327.808, 2196.416, 2459.200
"44", 914,34,"No","Travel_Rarely",1354,"Research & Development", 5,3,"Medical",1, 153,3,"Female", 45,2,3,"Manager",1,"Single", 5615,2,"Y","No",12,3,4,80,0,14,6,3,11,10, 5, 8,10048.857, 9910.758,10186.956
"45", 915,41,"No","Travel_Rarely", 549,"Research & Development", 7,2,"Medical",1,1025,4,"Female", 42,3,2,"Manufacturing Director",3,"Single",23371,6,"Y","No",14,3,2,80,0, 8,6,3, 2, 2, 2, 1, 6187.629, 6059.459, 6315.799
"46", 916,23,"No","Travel_Rarely", 507,"Research & Development",20,1,"Life Sciences",1,1533,1,"Male", 97,3,2,"Laboratory Technician",3,"Single",24812,0,"Y","No",14,3,2,80,0, 5,2,3, 4, 3, 1, 2, 5911.262, 5764.295, 6058.228
"47", 917,28,"No","Travel_Rarely",1217,"Research & Development", 1,3,"Medical",1,1834,3,"Female", 67,3,1,"Research Scientist",1,"Married",12719,1,"Y","No",25,4,3,80,1, 3,3,3, 3, 2, 1, 2, 2076.790, 1940.764, 2212.815
"48", 918,26,"No","Travel_Rarely", 572,"Sales",10,3,"Medical",1,1836,3,"Male", 46,3,2,"Sales Executive",4,"Single", 9125,1,"Y","No",13,3,1,80,0, 5,4,3, 5, 3, 1, 2, 5879.224, 5731.180, 6027.268
"49", 919,28,"No","Travel_Rarely",1144,"Sales",10,1,"Medical",1,1056,4,"Male", 74,3,1,"Sales Representative",2,"Married",23384,1,"Y","No",22,4,2,80,0, 1,5,3, 1, 0, 0, 0, 1999.336, 1844.062, 2154.611
"50", 920,59,"No","Travel_Rarely",1324,"Research & Development", 3,3,"Medical",1,  10,3,"Female", 81,4,1,"Laboratory Technician",1,"Married", 9964,4,"Y","Yes",20,4,1,80,3,12,3,2, 1, 0, 0, 0, 2777.741, 2560.879, 2994.604
"51", 921,30,"No","Travel_Rarely", 413,"Sales", 7,1,"Marketing",1, 585,4,"Male", 57,3,1,"Sales Representative",2,"Single",18398,0,"Y","No",14,3,1,80,0, 4,3,3, 3, 2, 1, 2, 2147.554, 2017.117, 2277.991
"52", 922,35,"No","Travel_Rarely",1229,"Research & Development", 8,1,"Life Sciences",1,  63,4,"Male", 36,4,1,"Laboratory Technician",4,"Married", 4892,1,"Y","No",19,3,4,80,0, 1,2,3, 1, 0, 0, 1, 1999.336, 1844.062, 2154.611
"53", 923,36,"Yes","Travel_Rarely", 660,"Research & Development",15,3,"Other",1,1052,1,"Male", 81,3,2,"Laboratory Technician",3,"Divorced", 7858,7,"Y","No",14,3,2,80,1, 9,3,2, 1, 0, 0, 0, 6290.431, 6150.635, 6430.226
"54", 924,42,"No","Non-Travel", 179,"Human Resources", 2,5,"Medical",1,1231,4,"Male", 79,4,2,"Human Resources",1,"Married",12858,7,"Y","No",16,3,1,80,1,10,3,4, 4, 3, 0, 3, 6265.082, 6159.661, 6370.504
"55", 925,54,"No","Travel_Rarely", 584,"Research & Development",22,5,"Medical",1,1665,2,"Female", 91,3,4,"Manager",3,"Married",18685,3,"Y","No",25,4,3,80,1,36,6,3,10, 8, 4, 7,15362.686,14975.147,15750.226
"56", 926,40,"No","Travel_Rarely",1171,"Research & Development",10,4,"Life Sciences",1, 483,4,"Female", 46,4,1,"Laboratory Technician",3,"Married",22495,3,"Y","Yes",13,3,3,80,1,10,3,3, 7, 7, 1, 7, 2443.988, 2287.818, 2600.158
"57", 927,32,"No","Travel_Rarely", 604,"Sales", 8,3,"Medical",1,1304,3,"Male", 56,4,2,"Sales Executive",4,"Married",11693,1,"Y","No",15,3,3,80,2,10,4,4,10, 7, 0, 8, 6072.857, 5955.816, 6189.898
"58", 928,38,"No","Travel_Rarely", 201,"Research & Development",10,3,"Medical",1,2015,2,"Female", 99,1,3,"Research Director",3,"Married", 3376,3,"Y","No",12,3,1,80,1,20,3,3,18,16, 1,11,10249.179,10056.492,10441.866
"59", 929,22,"No","Non-Travel",1123,"Research & Development",16,2,"Medical",1,  22,4,"Male", 96,4,1,"Laboratory Technician",4,"Divorced", 7324,1,"Y","Yes",13,3,2,80,2, 1,2,2, 1, 0, 0, 0, 1999.336, 1844.062, 2154.611
"60", 930,32,"No","Travel_Frequently",1005,"Research & Development", 2,2,"Life Sciences",1,   8,4,"Male", 79,3,1,"Laboratory Technician",4,"Single",11864,0,"Y","No",13,3,3,80,0, 8,2,2, 7, 7, 3, 6, 2302.460, 2161.197, 2443.722
"61", 931,34,"No","Non-Travel",1375,"Sales",10,3,"Life Sciences",1,1774,4,"Male", 87,3,2,"Sales Executive",3,"Divorced",12313,1,"Y","Yes",14,3,3,80,1,15,3,3,15,14, 0, 7, 6266.490, 6092.710, 6440.269
"62", 932,32,"No","Travel_Rarely",1018,"Research & Development", 3,2,"Life Sciences",1, 727,3,"Female", 39,3,3,"Research Director",4,"Single",19373,3,"Y","No",15,3,4,80,0,10,6,3, 7, 7, 7, 7, 9893.951, 9720.878,10067.024
"63", 933,41,"No","Travel_Rarely", 645,"Sales", 1,3,"Marketing",1, 534,2,"Male", 49,4,3,"Sales Executive",1,"Married",19566,1,"Y","No",16,3,3,80,1,10,2,3,10, 7, 0, 7, 9797.838, 9613.481, 9982.196
"64", 934,58,"Yes","Travel_Frequently", 781,"Research & Development", 2,1,"Life Sciences",1, 918,4,"Male", 57,2,1,"Laboratory Technician",4,"Divorced",13384,9,"Y","Yes",14,3,4,80,1, 3,3,2, 1, 0, 0, 0, 2140.865, 2000.206, 2281.523
"65", 935,20,"Yes","Travel_Rarely", 129,"Research & Development", 4,3,"Technical Degree",1, 960,1,"Male", 84,3,1,"Laboratory Technician",1,"Single",13008,1,"Y","No",19,3,2,80,0, 1,2,3, 1, 0, 0, 0, 1999.336, 1844.062, 2154.611
"66", 936,24,"Yes","Travel_Frequently", 381,"Research & Development", 9,3,"Medical",1,1494,2,"Male", 89,3,1,"Laboratory Technician",1,"Single",16998,2,"Y","Yes",11,3,3,80,0, 4,2,2, 0, 0, 0, 0, 2243.666, 2097.962, 2389.371
"67", 937,46,"No","Travel_Rarely", 644,"Research & Development", 1,4,"Medical",1, 288,4,"Male", 97,3,3,"Healthcare Representative",1,"Divorced",12368,7,"Y","No",16,3,3,80,1,17,3,3, 4, 2, 0, 3,10485.412,10312.565,10658.259
"68", 938,51,"Yes","Travel_Frequently",1150,"Research & Development", 8,4,"Life Sciences",1, 179,1,"Male", 53,1,3,"Manufacturing Director",4,"Single",25150,2,"Y","No",15,3,4,80,0,18,2,3, 4, 2, 0, 3,10556.176,10373.957,10738.396
"69", 939,39,"No","Travel_Rarely", 116,"Research & Development",24,1,"Life Sciences",1,2014,1,"Male", 52,3,2,"Research Scientist",4,"Single", 5340,7,"Y","No",13,3,1,80,0,18,2,3, 7, 7, 1, 7, 6735.082, 6555.488, 6914.677
"70", 940,28,"No","Travel_Rarely",1172,"Sales", 3,3,"Medical",1,1875,2,"Female", 78,3,1,"Sales Representative",2,"Married", 3692,1,"Y","No",19,3,4,80,1, 1,3,3, 1, 0, 0, 0, 1999.336, 1844.062, 2154.611
"71", 941,40,"Yes","Travel_Rarely", 676,"Research & Development", 9,4,"Life Sciences",1,1534,4,"Male", 86,3,1,"Laboratory Technician",1,"Single",21831,3,"Y","No",14,3,2,80,0,15,3,1, 5, 4, 1, 0, 2861.883, 2625.503, 3098.264
"72", 942,39,"No","Travel_Rarely",1462,"Sales", 6,3,"Medical",1,1588,4,"Male", 38,4,3,"Sales Executive",3,"Married", 4658,2,"Y","No",11,3,1,80,1,11,3,3, 7, 6, 7, 6, 9964.715, 9804.829,10124.602
"73", 943,59,"No","Travel_Rarely",1435,"Sales",25,3,"Life Sciences",1,  81,1,"Female", 99,3,3,"Sales Executive",1,"Single", 2354,7,"Y","No",11,3,4,80,0,28,3,2,21,16, 7, 9,10719.179,10434.138,11004.220
"74", 944,27,"No","Travel_Rarely",1055,"Research & Development", 2,4,"Life Sciences",1,1027,1,"Female", 47,3,2,"Manufacturing Director",4,"Married", 4658,0,"Y","No",18,3,2,80,1, 4,2,3, 3, 2, 2, 2, 5872.535, 5709.363, 6035.707
"75", 945,18,"No","Travel_Rarely", 812,"Sales",10,3,"Medical",1, 411,4,"Female", 69,2,1,"Sales Representative",3,"Single", 9724,1,"Y","No",12,3,1,80,0, 0,2,3, 0, 0, 0, 0, 1960.610, 1792.096, 2129.124
"76", 946,29,"No","Travel_Frequently", 995,"Research & Development", 2,1,"Life Sciences",1,1590,1,"Male", 87,3,2,"Healthcare Representative",4,"Divorced",24483,1,"Y","No",19,3,4,80,1, 6,0,4, 6, 4, 1, 3, 5917.951, 5782.688, 6053.213
"77", 947,21,"Yes","Travel_Rarely", 337,"Sales", 7,1,"Marketing",1,1780,2,"Male", 31,3,1,"Sales Representative",2,"Single", 4567,1,"Y","No",13,3,2,80,0, 1,3,3, 1, 0, 1, 0, 1999.336, 1844.062, 2154.611
"78", 948,26,"No","Travel_Rarely",1349,"Research & Development",23,3,"Life Sciences",1, 560,1,"Female", 90,3,1,"Research Scientist",4,"Divorced", 3032,1,"Y","No",22,4,2,80,2, 3,3,1, 3, 2, 0, 2, 2076.790, 1940.764, 2212.815
"79", 949,26,"Yes","Travel_Frequently", 426,"Human Resources",17,4,"Life Sciences",1, 608,2,"Female", 58,3,1,"Human Resources",3,"Divorced",22808,0,"Y","Yes",11,3,2,80,1, 8,2,2, 7, 7, 1, 0, 2302.460, 2161.197, 2443.722
"80", 950,47,"Yes","Travel_Frequently", 719,"Sales",27,2,"Life Sciences",1, 785,2,"Female", 77,4,2,"Sales Executive",3,"Single",10339,4,"Y","Yes",12,3,4,80,0, 8,2,3, 5, 4, 1, 3, 6091.516, 5983.432, 6199.601
"81", 951,42,"No","Non-Travel", 355,"Research & Development",10,4,"Technical Degree",1,1854,3,"Male", 38,3,1,"Research Scientist",3,"Married", 6161,3,"Y","No",22,4,2,80,2,10,1,2, 6, 3, 3, 3, 2476.025, 2320.832, 2631.219
"82", 952,40,"No","Travel_Rarely", 300,"Sales",26,3,"Marketing",1,1066,3,"Male", 74,3,2,"Sales Executive",1,"Married",22217,1,"Y","No",14,3,2,80,1, 8,3,2, 7, 7, 7, 5, 6027.441, 5915.846, 6139.037
"83", 953,37,"No","Travel_Rarely", 124,"Research & Development", 3,3,"Other",1,1062,4,"Female", 35,3,2,"Healthcare Representative",2,"Single",13848,3,"Y","No",15,3,1,80,0, 8,3,2, 4, 3, 0, 1, 6123.554, 6011.854, 6235.254
"84", 954,27,"No","Travel_Frequently",1297,"Research & Development", 5,2,"Life Sciences",1,1850,4,"Female", 53,3,1,"Laboratory Technician",4,"Single",19826,0,"Y","Yes",14,3,3,80,0, 6,3,2, 5, 4, 0, 2, 2225.007, 2096.527, 2353.486
"85", 955,39,"No","Non-Travel", 439,"Research & Development", 9,3,"Life Sciences",1,1132,3,"Male", 70,3,2,"Laboratory Technician",2,"Single", 8770,9,"Y","No",15,3,3,80,0, 9,2,2, 5, 4, 0, 3, 6162.281, 6061.495, 6263.066
"86", 956,45,"No","Travel_Rarely", 176,"Human Resources", 4,3,"Life Sciences",1,1744,3,"Female", 56,1,3,"Human Resources",3,"Married", 6595,4,"Y","No",21,4,3,80,2, 9,2,4, 5, 0, 0, 3, 9887.262, 9698.074,10076.450
"87", 957,56,"No","Travel_Rarely",1400,"Research & Development", 7,3,"Life Sciences",1, 112,4,"Male", 49,1,3,"Manufacturing Director",4,"Single",21698,4,"Y","No",11,3,1,80,0,37,3,2, 6, 4, 0, 2,11836.619,11333.758,12339.480
"88", 958,32,"No","Non-Travel",1109,"Research & Development",29,4,"Medical",1,1046,4,"Female", 69,3,1,"Laboratory Technician",3,"Single",11135,9,"Y","No",12,3,2,80,0,10,2,3, 8, 7, 7, 7, 2411.950, 2252.325, 2571.575
"89", 959,41,"No","Travel_Rarely",1206,"Sales",23,2,"Life Sciences",1,1678,4,"Male", 80,3,3,"Sales Executive",3,"Single",11591,3,"Y","Yes",16,3,4,80,0,21,2,3, 2, 0, 0, 2,10832.544,10581.591,11083.497
"90", 960,58,"Yes","Travel_Rarely", 286,"Research & Development", 2,4,"Life Sciences",1, 825,4,"Male", 31,3,5,"Research Director",2,"Single",25761,7,"Y","Yes",12,3,4,80,0,40,2,3,31,15,13, 8,18697.936,18284.695,19111.176
"91", 961,29,"No","Travel_Rarely", 665,"Research & Development",15,3,"Life Sciences",1, 346,3,"Male", 60,3,1,"Research Scientist",4,"Single",22673,1,"Y","No",19,3,1,80,0, 6,1,3, 6, 5, 1, 5, 2192.969, 2060.652, 2325.286
"92", 962,40,"No","Travel_Rarely",1300,"Research & Development",24,2,"Technical Degree",1, 335,1,"Male", 62,3,2,"Research Scientist",4,"Divorced",24447,1,"Y","No",17,3,1,80,2, 9,3,3, 9, 8, 4, 7, 6034.130, 5918.524, 6149.737
"93", 963,38,"No","Travel_Frequently", 471,"Research & Development",12,3,"Life Sciences",1, 837,1,"Male", 45,2,2,"Healthcare Representative",1,"Divorced", 4284,2,"Y","No",15,3,3,80,1,13,3,2, 4, 3, 1, 2, 6477.374, 6350.308, 6604.441
"94", 964,39,"No","Travel_Rarely", 141,"Human Resources", 3,3,"Human Resources",1, 760,3,"Female", 44,4,2,"Human Resources",2,"Married",18767,9,"Y","No",15,3,3,80,1,12,3,1, 8, 3, 3, 6, 6278.460, 6182.895, 6374.026
"95", 965,25,"No","Travel_Rarely",1280,"Research & Development", 7,1,"Medical",1, 143,4,"Male", 64,2,1,"Research Scientist",4,"Married",26897,1,"Y","No",11,3,3,80,2, 2,2,3, 2, 2, 2, 1, 2038.063, 1893.798, 2182.328
"96", 966,50,"No","Travel_Rarely", 989,"Research & Development", 7,2,"Medical",1,  80,2,"Female", 43,2,5,"Research Director",3,"Divorced",16701,5,"Y","Yes",12,3,4,80,1,29,2,2,27, 3,13, 8,18047.681,17706.306,18389.056
"97", 967,29,"No","Travel_Rarely", 468,"Research & Development",28,4,"Medical",1,2054,4,"Female", 73,2,1,"Research Scientist",1,"Single", 8489,1,"Y","No",14,3,2,80,0, 5,3,1, 5, 4, 0, 4, 2154.243, 2024.432, 2284.053
"98", 968,36,"No","Travel_Rarely", 164,"Sales", 2,2,"Medical",1, 513,2,"Male", 61,2,3,"Sales Executive",3,"Married", 3809,1,"Y","No",13,3,2,80,2,10,2,3,10, 9, 9, 0, 9797.838, 9613.481, 9982.196
